asin,sku,title_ja,category,brand,selling_price,risk_score,risk_level,matched_keywords,matched_categories
B0FNMP9NWN,b-B0FNMP9NWN-20251126152114,電気毛布 TOPZEE 掛敷き兼用 でんき掛敷毛布 ラビットファー調 電気ブランケット 1-9時間タイマー 10段階温度調節 188x130cm 電気もうふ 敷き 電気かけしき毛布 電気敷毛布 省エネ 暖房器具 ひざ掛け/肩掛け/掛け/敷き毛布 丸洗い可能 PSE認証済み,,Topzee,12320.0,0,safe,,
B0FNM3S4WV,b-B0FNM3S4WV-20251126152114,タカラトミー(TAKARA TOMY) クロミ スマホ ワイド,,タカラトミー(TAKARA TOMY),16740.0,0,safe,,
B0FN3PGW3P,b-B0FN3PGW3P-20251126152114,カービィのエアライダー -Switch2 +カービィ(M)スタンダードぬいぐるみセット & 【.co.jp限定】特典 オリジナルネックストラップ(IDカードホルダー付き),,任天堂,15960.0,0,safe,,
B0FMY9TXLV,b-B0FMY9TXLV-20251126152114,【.co.jp限定】 バッファロー SSD 外付け 1TB Type-C Type-A 両対応 USB3.2(Gen2) 読込速度 1050MB/秒 【 iPhone 17 /17 pro/iPad/Android/Windows/Mac 】 バックアップ 容量不足解消 exFAT コンパクト スティック型 SSD-SDH1.0U3BA/N,,バッファロー,21550.0,0,safe,,
B0FMY6M5FT,b-B0FMY6M5FT-20251126152114,セラミックヒーター ヒーター 速暖 【2025新開発&ECO恒温省エネ&マイナスイオン】 電気ファンヒーター タワー型 3D疑似炎 LCDディスプレイ 左右自動首振り 空気清浄 冷暖兼用10W/800W/1200W 三段階切替 静音 電気ストーブ 1~12時間切タイマー 足元 暖房器具 耐火素材 転倒OFF 過熱保護 リモコン付き 寝室/洗面所/脱衣所/リビング/寝室PSE認証済,,Voltix,10370.0,0,safe,,
B0FMY1BSCH,b-B0FMY1BSCH-20251126152114,加湿器 大容量 6L 【2025年新モデル・5重除菌・加熱式】 超音波式 加湿器 卓上 ハイブリッド式 アロマ対応 上から注水 マイナスイオン 空気清浄機能 100℃高温除菌 UVライト 6段階加湿量 吹出口360°調整 湿度調整/温度表示/チャイルドロック/12Hタイマー 水漏れ防止 空焚き防止 遠隔制御 リモコン付き オフィス/事務所/家庭用 (グレー),,Piddiy,,0,safe,,
B0FMHRYVRX,b-B0FMHRYVRX-20251126152114,【新型】おそうじ専科 じゃぶじゃぶクリーン 業務用 風呂釜洗浄剤 １つ穴 エコキュート 追い焚き配管洗浄 2回分(洗浄カップ付き) 1000g,,おそうじ専科,8290.0,0,safe,,
B0FMDZMBPM,b-B0FMDZMBPM-20251126152114,加湿器 大容量 6L 【2025年新モデル・5重除菌・加熱式】 超音波式 加湿器 卓上 ハイブリッド式 アロマ対応 上から注水 マイナスイオン 空気清浄機能 100℃高温除菌 UVライト 6段階加湿量 吹出口360°調整 湿度調整/温度表示/チャイルドロック/12Hタイマー 水漏れ防止 空焚き防止 遠隔制御 リモコン付き オフィス/事務所/家庭用,,Piddiy,8130.0,0,safe,,
B0FMDRH6Y6,b-B0FMDRH6Y6-20251126152114,加湿器 大容量 業務用 【28L大容量&ECO湿度設定&マイナスイオン】 家庭用 120畳 2000ML/H大霧量 超音波加湿器 タワー式 UV除菌 麦飯石フィルター 次亜塩素酸水対応 連続50時間加湿 12hタイマー 4つ吹出し口 2種類ノズル 上から給水 お手入れ簡単 静音 省エネ 空焚き防止 リビング/オフィス/事務所/学習塾/保育園/店舗/工場適用 リモコン付き PSE認証済,,Monoyoi,28600.0,0,safe,,
B0FLPX8NTM,b-B0FLPX8NTM-20251126152114,LuLuLun ルルルン ハイドラPDマスク 28枚入り パック フェイスパック シートマスク 顔 保湿 毛穴 大容量,,Lululun,3430.0,0,safe,,
B0FLKJ7FH7,b-B0FLKJ7FH7-20251126152114,HyperX SoloCast 2 コンデンサーマイク USBマイク 内蔵ショックマウント ポップフィルター テレワーク/ストリーマー/コンテンツクリエーター/ゲーマー向け PC Mac PS4 PS5対応 ブラック メーカー保証2年間 AR0A0AA,,ハイパーエックス(HyperX),9910.0,0,safe,,
B0FLD3TGJB,b-B0FLD3TGJB-20251126152114,【メーカー特典あり】LIVE TOUR 2025 「THANK YOU SO MUCH!!」 [完全生産限定盤] [Blu-ray + Bonus DISC(Blu-ray) + Special Goods]（メーカー特典：THANK YOU SO“バッジ”!!　付）,,ビクターエンタテインメント,14120.0,0,safe,,
B0FLCT471L,b-B0FLCT471L-20251126152114,加湿器 大容量 9L【4重除菌浄化 & 知能恒湿】 ハイブリッド加湿器 加熱式 超音波式 AIスマート 上から給水 アロマ対応 高濃度マイナスイオン空気清浄機能 銀イオン抗菌素材 次亜塩素酸水対応 タイマー機能 静音 省エネ 3段階霧量調整 6段階加湿量調節 自動湿度調整 水漏れ防止 乾燥防止 オフィス/事務所/幼稚園/業務用/家庭用 日本語取扱説明書付き (ホワイト),,FleekFit,12980.0,0,safe,,
B0FLCQ9JRC,b-B0FLCQ9JRC-20251126152114,ソニー(SONY) ゲーミングイヤホン INZONE E9 ホワイト : IER-G900 :Fnatic共同開発 密閉/ダイナミックインイヤー/有線 / 約1.8ｍ / FPSに特化したEQプリセット搭載/高い遮音性/ドライバーユニット：5mm ホワイト,,Sony,20800.0,0,safe,,
